Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch04_fig01_ipr_curves.png,1,PI Model (linear),"Bottomhole Flowing Pressure, Pwf (bara)",0.0,300.0,200,0
ch04_fig01_ipr_curves.png,1,Vogel Model (two-phase),"Bottomhole Flowing Pressure, Pwf (bara)",0.0,300.0,200,0
ch04_fig01_ipr_curves.png,1,Curve 3,"Bottomhole Flowing Pressure, Pwf (bara)",0.0,0.0,2,0
ch04_fig02_gor_vs_pressure.png,1,Molar GOR,Molar GOR (gas moles / oil moles),6.0008116810061995,62.50961584162392,29,21
ch04_fig03_density_vs_depth.png,1,Fluid Density,Depth Below Reference (m),0.0,3000.0,30,0
ch04_fig03_density_vs_depth.png,2,Temperature,,0.0,3000.0,30,0
ch04_fig04_rel_perm_curves.png,1,$k_{rw}$ (n_w=3.0),"Relative Permeability, kr",0.0,0.4,200,0
ch04_fig04_rel_perm_curves.png,1,$k_{ro}$ (n_o=2.5),"Relative Permeability, kr",0.0,1.0,200,0
ch04_fig04_rel_perm_curves.png,1,Swc = 0.15,"Relative Permeability, kr",0.0,1.0,2,0
ch04_fig04_rel_perm_curves.png,1,1-Sor = 0.80,"Relative Permeability, kr",0.0,1.0,2,0
ch04_fig04_rel_perm_curves.png,1,Curve 5,"Relative Permeability, kr",0.09216801920767703,0.09216801920767703,1,0
